Tumor_Sample_Barcode	total	total_perMB	total_perMB_log
TCGA-49-AARR-01A-11D-A410-08	1	0.026315789	-1.579783597
TCGA-55-8513-01A-11D-2393-08	1	0.026315789	-1.579783597
TCGA-17-Z019-01A-01W-0746-08	2	0.052631579	-1.278753601
TCGA-17-Z054-01A-01W-0747-08	4	0.105263158	-0.977723605
TCGA-L4-A4E6-01A-11D-A24D-08	4	0.105263158	-0.977723605
TCGA-44-6148-01A-11D-1753-08	5	0.131578947	-0.880813592
TCGA-75-7030-01A-11D-1945-08	7	0.184210526	-0.734685557
TCGA-78-8648-01A-11D-2393-08	7	0.184210526	-0.734685557
TCGA-17-Z002-01A-01W-0746-08	8	0.210526316	-0.67669361
TCGA-38-A44F-01A-11D-A24D-08	8	0.210526316	-0.67669361
TCGA-55-6980-01A-11D-1945-08	9	0.236842105	-0.625541087
TCGA-50-5055-01A-01D-1625-08	10	0.263157895	-0.579783597
TCGA-75-6203-01A-11D-1753-08	10	0.263157895	-0.579783597
TCGA-17-Z004-01A-01W-0746-08	14	0.368421053	-0.433655561
TCGA-78-7163-01A-12D-2063-08	14	0.368421053	-0.433655561
TCGA-17-Z047-01A-01W-0747-08	15	0.394736842	-0.403692338
TCGA-55-6986-01A-11D-1945-08	15	0.394736842	-0.403692338
TCGA-55-8619-01A-11D-2393-08	15	0.394736842	-0.403692338
TCGA-75-6212-01A-11D-1753-08	16	0.421052632	-0.375663614
TCGA-91-A4BD-01A-11D-A24D-08	16	0.421052632	-0.375663614
TCGA-55-6984-01A-11D-1945-08	17	0.447368421	-0.349334675
TCGA-55-6543-01A-11D-1753-08	19	0.5	-0.301029996
TCGA-55-8091-01A-11D-2238-08	20	0.526315789	-0.278753601
TCGA-97-7552-01A-11D-2036-08	20	0.526315789	-0.278753601
TCGA-55-8206-01A-11D-2238-08	21	0.552631579	-0.257564302
TCGA-97-8552-01A-11D-2393-08	21	0.552631579	-0.257564302
TCGA-75-7025-01A-12D-1945-08	22	0.578947368	-0.237360916
TCGA-78-7540-01A-11D-2063-08	22	0.578947368	-0.237360916
TCGA-91-8496-01A-11D-2393-08	22	0.578947368	-0.237360916
TCGA-44-2666-01B-02D-A271-08	23	0.605263158	-0.218055761
TCGA-55-8087-01A-11D-2238-08	23	0.605263158	-0.218055761
TCGA-62-8397-01A-11D-2323-08	23	0.605263158	-0.218055761
TCGA-97-A4M6-01A-11D-A24P-08	23	0.605263158	-0.218055761
TCGA-NJ-A7XG-01A-12D-A397-08	23	0.605263158	-0.218055761
TCGA-17-Z048-01A-01W-0746-08	24	0.631578947	-0.199572355
TCGA-55-6978-01A-11D-1945-08	24	0.631578947	-0.199572355
TCGA-86-8671-01A-11D-2393-08	24	0.631578947	-0.199572355
TCGA-97-8177-01A-11D-2284-08	24	0.631578947	-0.199572355
TCGA-MP-A4T9-01A-11D-A24P-08	24	0.631578947	-0.199572355
TCGA-38-4627-01A-01D-1553-08	25	0.657894737	-0.181843588
TCGA-67-6216-01A-11D-1753-08	25	0.657894737	-0.181843588
TCGA-44-2666-01A-01D-A271-08	26	0.684210526	-0.164810249
TCGA-50-8460-01A-11D-2323-08	26	0.684210526	-0.164810249
TCGA-86-8668-01A-11D-2393-08	26	0.684210526	-0.164810249
TCGA-97-8175-01A-11D-2284-08	26	0.684210526	-0.164810249
TCGA-05-5429-01A-01D-1625-08	27	0.710526316	-0.148419832
TCGA-69-7761-01A-11D-2167-08	27	0.710526316	-0.148419832
TCGA-44-2661-01A-01D-1105-08	28	0.736842105	-0.132625565
TCGA-44-2666-01A-01W-0928-08	28	0.736842105	-0.132625565
TCGA-44-3919-01A-02D-1105-08	28	0.736842105	-0.132625565
TCGA-L9-A50W-01A-12D-A397-08	28	0.736842105	-0.132625565
TCGA-44-2666-01A-01D-1489-08	29	0.763157895	-0.117385599
TCGA-78-7160-01A-11D-2036-08	29	0.763157895	-0.117385599
TCGA-91-8497-01A-11D-2393-08	29	0.763157895	-0.117385599
TCGA-05-4433-01A-22D-1855-08	30	0.789473684	-0.102662342
TCGA-44-5645-01A-01D-A271-08	30	0.789473684	-0.102662342
TCGA-44-5645-01B-04D-A271-08	30	0.789473684	-0.102662342
TCGA-55-7284-01B-11D-2238-08	30	0.789473684	-0.102662342
TCGA-44-2665-01A-01D-1040-01	31	0.815789474	-0.088421903
TCGA-44-2665-01A-01D-A271-08	31	0.815789474	-0.088421903
TCGA-44-2666-01A-41D-A27T-08	31	0.815789474	-0.088421903
TCGA-44-5645-01A-01D-1625-08	31	0.815789474	-0.088421903
TCGA-49-4490-01A-21D-1855-08	31	0.815789474	-0.088421903
TCGA-55-8512-01A-11D-2393-08	31	0.815789474	-0.088421903
TCGA-44-2666-01A-21D-A27T-08	32	0.842105263	-0.074633618
TCGA-44-5645-01A-51D-A27T-08	32	0.842105263	-0.074633618
TCGA-44-6146-01A-11D-1753-08	32	0.842105263	-0.074633618
TCGA-49-4512-01A-21D-1855-08	32	0.842105263	-0.074633618
TCGA-62-A46Y-01A-11D-A24D-08	32	0.842105263	-0.074633618
TCGA-05-4425-01A-01D-1753-08	33	0.868421053	-0.061269657
TCGA-17-Z009-01A-01W-0746-08	33	0.868421053	-0.061269657
TCGA-44-3919-01A-02D-1458-08	33	0.868421053	-0.061269657
TCGA-44-6146-01A-11D-A271-08	33	0.868421053	-0.061269657
TCGA-44-6146-01B-04D-A271-08	33	0.868421053	-0.061269657
