sampleId	MSI_score	Group
TCGA-05-4244-01	0.2886	MSS
TCGA-05-4249-01	0.2807	MSS
TCGA-05-4250-01	0.3059	MSI-L
TCGA-05-4382-01	0.3193	MSI-L
TCGA-05-4384-01	0.285	MSS
TCGA-05-4389-01	0.2907	MSS
TCGA-05-4390-01	0.2876	MSS
TCGA-05-4395-01	0.2956	MSS
TCGA-05-4396-01	0.2819	MSS
TCGA-05-4397-01	0.2886	MSS
TCGA-05-4398-01	0.3117	MSI-L
TCGA-05-4402-01	0.2803	MSS
TCGA-05-4403-01	0.2921	MSS
TCGA-05-4405-01	0.3071	MSI-L
TCGA-05-4410-01	0.3034	MSI-L
TCGA-05-4415-01	0.3033	MSI-L
TCGA-05-4417-01	0.3033	MSI-L
TCGA-05-4418-01	0.2744	MSS
TCGA-05-4420-01	0.291	MSS
TCGA-05-4422-01	0.2843	MSS
TCGA-05-4424-01	0.3012	MSI-L
TCGA-05-4425-01	0.3179	MSI-L
TCGA-05-4426-01	0.2836	MSS
TCGA-05-4427-01	0.3043	MSI-L
TCGA-05-4430-01	0.2825	MSS
TCGA-05-4432-01	0.2759	MSS
TCGA-05-4433-01	0.3053	MSI-L
TCGA-05-4434-01	0.2715	MSS
TCGA-05-5423-01	0.3204	MSI-L
TCGA-05-5425-01	0.3001	MSI-L
TCGA-05-5428-01	0.298	MSS
TCGA-05-5429-01	0.3031	MSI-L
TCGA-05-5715-01	0.3207	MSI-L
TCGA-35-3615-01	0.2804	MSS
TCGA-35-4122-01	0.2776	MSS
TCGA-35-4123-01	0.2877	MSS
TCGA-35-5375-01	0.3281	MSI-L
TCGA-38-4625-01	0.2801	MSS
TCGA-38-4626-01	0.2787	MSS
TCGA-38-4627-01	0.2806	MSS
TCGA-38-4628-01	0.3118	MSI-L
TCGA-38-4631-01	0.3091	MSI-L
TCGA-38-4632-01	0.2967	MSS
TCGA-38-6178-01	0.2925	MSS
TCGA-38-7271-01	0.3598	MSI-H
TCGA-38-A44F-01	0.3275	MSI-L
TCGA-44-2655-01	0.2747	MSS
TCGA-44-2656-01	0.2996	MSS
TCGA-44-2657-01	0.2817	MSS
TCGA-44-2659-01	0.2806	MSS
TCGA-44-2662-01	0.2713	MSS
TCGA-44-2665-01	0.3006	MSI-L
TCGA-44-2666-01	0.3003	MSI-L
TCGA-44-2668-01	0.2747	MSS
TCGA-44-3396-01	0.3466	MSI-L
TCGA-44-3398-01	0.281	MSS
TCGA-44-3917-01	0.3142	MSI-L
TCGA-44-3918-01	0.3106	MSI-L
TCGA-44-3919-01	0.2725	MSS
TCGA-44-4112-01	0.2866	MSS
TCGA-44-5643-01	0.321	MSI-L
TCGA-44-5644-01	0.3216	MSI-L
TCGA-44-5645-01	0.3481	MSI-L
TCGA-44-6144-01	0.2976	MSS
TCGA-44-6145-01	0.3023	MSI-L
TCGA-44-6146-01	0.3286	MSI-L
TCGA-44-6148-01	0.2964	MSS
TCGA-44-6774-01	0.2954	MSS
TCGA-44-6775-01	0.3101	MSI-L
TCGA-44-6776-01	0.3029	MSI-L
TCGA-44-6777-01	0.3033	MSI-L
TCGA-44-6778-01	0.3067	MSI-L
TCGA-44-6779-01	0.2979	MSS
TCGA-44-7659-01	0.3019	MSI-L
TCGA-44-7660-01	0.3098	MSI-L
TCGA-44-7661-01	0.3087	MSI-L
TCGA-44-7662-01	0.3017	MSI-L
TCGA-44-7667-01	0.3057	MSI-L
TCGA-44-7669-01	0.3312	MSI-L
TCGA-44-7670-01	0.3216	MSI-L
TCGA-44-7671-01	0.3047	MSI-L
TCGA-44-7672-01	0.3068	MSI-L
TCGA-44-8117-01	0.3512	MSI-H
TCGA-44-8119-01	0.3525	MSI-H
TCGA-44-8120-01	0.3347	MSI-L
TCGA-44-A479-01	0.3191	MSI-L
TCGA-44-A47A-01	0.3226	MSI-L
TCGA-44-A47B-01	0.3287	MSI-L
TCGA-44-A47F-01	0.3397	MSI-L
TCGA-44-A47G-01	0.3181	MSI-L
TCGA-44-A4SS-01	0.3039	MSI-L
TCGA-44-A4SU-01	0.3233	MSI-L
TCGA-49-4486-01	0.278	MSS
TCGA-49-4487-01	0.295	MSS
TCGA-49-4488-01	0.2967	MSS
TCGA-49-4490-01	0.3009	MSI-L
TCGA-49-4494-01	0.2794	MSS
TCGA-49-4501-01	0.2866	MSS
TCGA-49-4505-01	0.3359	MSI-L
TCGA-49-4506-01	0.2991	MSS
TCGA-49-4507-01	0.2769	MSS
TCGA-49-4510-01	0.2923	MSS
TCGA-49-4512-01	0.307	MSI-L
TCGA-49-4514-01	0.3006	MSI-L
TCGA-49-6742-01	0.3036	MSI-L
TCGA-49-6743-01	0.2849	MSS
TCGA-49-6744-01	0.2967	MSS
TCGA-49-6745-01	0.3083	MSI-L
TCGA-49-6761-01	0.2932	MSS
TCGA-49-6767-01	0.3133	MSI-L
TCGA-49-AAQV-01	0.3294	MSI-L
TCGA-49-AAR0-01	0.3252	MSI-L
TCGA-49-AAR2-01	0.3355	MSI-L
TCGA-49-AAR3-01	0.3164	MSI-L
TCGA-49-AAR4-01	0.3241	MSI-L
TCGA-49-AAR9-01	0.3436	MSI-L
TCGA-49-AARE-01	0.3338	MSI-L
TCGA-49-AARN-01	0.3164	MSI-L
TCGA-49-AARO-01	0.3115	MSI-L
TCGA-49-AARQ-01	0.3256	MSI-L
TCGA-49-AARR-01	0.3245	MSI-L
TCGA-4B-A93V-01	0.3475	MSI-L
TCGA-50-5044-01	0.313	MSI-L
TCGA-50-5045-01	0.305	MSI-L
TCGA-50-5049-01	0.3052	MSI-L
TCGA-50-5051-01	0.3028	MSI-L
TCGA-50-5055-01	0.3077	MSI-L
TCGA-50-5066-01	0.2919	MSS
TCGA-50-5068-01	0.3108	MSI-L
TCGA-50-5072-01	0.2997	MSS
TCGA-50-5930-01	0.2831	MSS
TCGA-50-5931-01	0.3013	MSI-L
TCGA-50-5932-01	0.3033	MSI-L
TCGA-50-5933-01	0.2962	MSS
TCGA-50-5935-01	0.3089	MSI-L
TCGA-50-5936-01	0.3083	MSI-L
TCGA-50-5939-01	0.3341	MSI-L
TCGA-50-5941-01	0.292	MSS
TCGA-50-5942-01	0.2881	MSS
TCGA-50-5944-01	0.2843	MSS
TCGA-50-5946-01	0.2901	MSS
TCGA-50-6590-01	0.2995	MSS
TCGA-50-6591-01	0.3244	MSI-L
TCGA-50-6592-01	0.2877	MSS
TCGA-50-6593-01	0.2839	MSS
TCGA-50-6594-01	0.3083	MSI-L
TCGA-50-6595-01	0.3005	MSI-L
TCGA-50-6597-01	0.3029	MSI-L
TCGA-50-6673-01	0.2908	MSS
TCGA-50-7109-01	0.3035	MSI-L
TCGA-50-8457-01	0.3402	MSI-L
TCGA-50-8459-01	0.3327	MSI-L
TCGA-50-8460-01	0.3409	MSI-L
TCGA-53-7624-01	0.317	MSI-L
TCGA-53-7626-01	0.3176	MSI-L
