Factor	logFC	AveExpr	t	P.Value	adj.P.Val	B
Risk_score_LH	0.999999999999993	0.5	428.386522511194	0	0	1450.09179665439
Risk_score	2.41704491902834	3.90124520445344	21.0187002558712	1.49696517687256e-70	1.49696517687256e-68	148.765478341307
Doramapimod	0.242655680161948	4.66235841093117	11.1327015018411	7.6912023778023e-26	5.1274682518682e-24	46.0417154031093
BI-2536	-0.597512950661944	-0.361624194181174	-9.58819019139781	4.40070401664882e-20	2.20035200832441e-18	32.8792089800775
BMS-754807	0.54678965045587	0.517818448784211	8.86354317923847	1.40734138690261e-17	5.62936554761043e-16	27.1657715307084
Ribociclib	0.240203214574895	4.0610968340081	8.59199137829922	1.12619563512613e-16	3.75398545042045e-15	25.1082578989469
UMI-77	-0.358660094736841	2.67998039797571	-8.41334548023504	4.31361687381813e-16	1.23246196394804e-14	23.7805438534113
PF-4708671	0.217695437246962	4.01773324493927	8.18275114243916	2.36866933463164e-15	5.9216733365791e-14	22.0977901870413
Docetaxel	-0.478558109311741	-4.22691613157895	-7.56267854887389	1.93859170066136e-13	4.30798155702523e-12	17.7522403810614
Uprosertib	0.375749288663969	2.67114803582996	7.50741223030592	2.83441018733332e-13	5.66882037466664e-12	17.3779845307231
AZD6738	-0.462583620242917	2.26316017206478	-7.41554459790178	5.30459401346814e-13	9.6447163881239e-12	16.7607090296088
GSK269962A	0.192697145748991	3.07712790890688	7.33918480861501	8.89073179643042e-13	1.4817886327384e-11	16.2522630369027
MK-1775	-0.41751644185425	0.819849131704453	-6.79703000188986	3.08516624600969e-11	4.74640960924568e-10	12.7656381831071
JAK1_8709	0.275127020242915	4.00335407287449	6.76148334754034	3.86390360462911e-11	5.5198622923273e-10	12.5447286680363
SB505124	0.236455874493926	2.12245922874494	6.73950926656249	4.43862734391375e-11	5.91816979188501e-10	12.4086490430331
Docetaxel.1	-0.68913616497166	-1.40898389330364	-6.53150994919669	1.62018807382262e-10	1.9094091233003e-09	11.1389078336814
AZD6482	0.19506055060729	3.36446251417004	6.53122807757709	1.62299775480525e-10	1.9094091233003e-09	11.1372097853761
MK-2206	0.334160931174089	2.61112084210526	6.51152865521332	1.83165397886793e-10	1.95400763808859e-09	11.0186894755734
ERK_6604	0.0543043562753001	3.32112616194332	6.50934805907474	1.85630725618416e-10	1.95400763808859e-09	11.005588586029
Niraparib	0.313006493927124	4.39346481781376	6.30623567766333	6.34802604670865e-10	6.34802604670865e-09	9.80158715932909
JQ1	0.218732684210527	2.60503418016194	6.29363533127415	6.84410089938409e-10	6.51819133274675e-09	9.72796278549593
PRT062607	0.25147748987854	3.00425862348178	6.27582032627299	7.61075588731712e-10	6.91886898847011e-09	9.62408298483328
PRIMA-1MET	0.331963668016201	4.27623578137652	6.20130519499347	1.183459106452e-09	1.02909487517565e-08	9.19230809126047
Nutlin-3a (-)	0.502775805668019	4.58434209311741	6.12457270184692	1.85628352660902e-09	1.54690293884085e-08	8.75230063658539
AZD7762	-0.346340281781376	0.305582843364372	-6.0498103529386	2.86558660668139e-09	2.29246928534511e-08	8.32812023070846
Sepantronium bromide	-0.363719218623483	-4.23951372267206	-5.95883669363015	4.8319845226892e-09	3.71691117129939e-08	7.81802681242852
Lapatinib	-0.30663026275304	3.14728516821862	-5.78006745885837	1.3237890430974e-08	9.80584476368444e-08	6.83521746012645
SB216763	0.25428912955466	5.36841364574899	5.58980702003357	3.76345705702964e-08	2.68818361216403e-07	5.81801603234362
Oxaliplatin.1	0.318411627530361	5.37524546963563	5.53919226244608	4.94527534064957e-08	3.41053471768936e-07	5.55245689400516
AZD8186	0.249084299595144	2.95698144129555	5.5144785002346	5.64647063523465e-08	3.7643137568231e-07	5.42356687590953
Axitinib	0.156558919028338	3.13413562955466	5.50013355266726	6.09684453347865e-08	3.93344808611526e-07	5.34898719875827
WIKI4	-0.10453398785425	3.74146912348178	-5.42095096740818	9.28491057814687e-08	5.8030691113418e-07	4.94041254686961
Staurosporine	-0.303180380566802	-3.10563107692308	-5.37490765380639	1.18300908383287e-07	6.97110332360077e-07	4.70525209928276
ERK_2440	0.0401527975708476	2.57793180769231	5.37457282671105	1.18508756501213e-07	6.97110332360077e-07	4.70354854365669
Afuresertib	0.274296116963564	2.26613904678138	5.30027977653389	1.74554357323648e-07	9.97453470420844e-07	4.3278935205355
Wee1 Inhibitor	-0.340378148906883	2.06583494327935	-5.24390102927091	2.33484101168502e-07	1.29713389538057e-06	4.04593573595512
Paclitaxel	-0.420899136437245	-2.74978666781377	-5.15111374173476	3.74723668659027e-07	2.02553334410285e-06	3.58777442971818
Gefitinib	-0.182246210526316	3.68650183805668	-5.04678908071503	6.3248679816536e-07	3.32887788508084e-06	3.08142717083584
Venetoclax	0.287233175263159	1.52656891520243	5.02051162650468	7.20611422125316e-07	3.69544319038624e-06	2.95536011941962
Dasatinib	-0.419307062469632	2.09407572301619	-4.9670364310375	9.38037455780047e-07	4.69018727890023e-06	2.70064751779711
Erlotinib	-0.172401064777327	3.03376271862348	-4.89154943030195	1.3555928395248e-06	6.61264799768194e-06	2.34529374565972
Luminespib	-0.348175607287446	-2.80184728016194	-4.80322311278974	2.07313778934972e-06	9.87208471118914e-06	1.93577610786851
LY2109761	0.183377878542512	5.3417725465587	4.69747838581144	3.41818822103379e-06	1.58985498652734e-05	1.45444886192208
YK-4-279	-0.310984016194332	3.0044737611336	-4.67827731641206	3.73932718917334e-06	1.69969417689697e-05	1.36810019632973
Leflunomide	0.121887736842107	5.22793221659919	4.64326810376312	4.40100547975688e-06	1.9560024354475e-05	1.21149461250569
Obatoclax Mesylate	-0.16129688311741	1.65868051997976	-4.43182893422163	1.15180250902081e-05	5.00783699574264e-05	0.288668143732117
TAF1_5496	0.236189562753034	3.96840119838057	4.33880463786717	1.7378201639336e-05	7.39497942099406e-05	-0.104759750735923
