gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AGER	14273.16583	-5.026373216	0.265429809	-18.9367322	5.68e-80	9.5e-78
ALOX15	497.9359002	-2.1142145	0.319449958	-6.618296383	3.63e-11	1.5e-10
BRCA1	761.8767655	1.465217151	0.13001436	11.26965629	1.85e-29	2.86e-28
BTK	760.8267745	-1.399609848	0.129047663	-10.84568151	2.09e-27	2.82e-26
CAMP	38.52459927	-2.660161113	0.246781528	-10.77941747	4.31e-27	5.68e-26
CHI3L1	8387.148906	1.297852273	0.233528042	5.557586413	2.74e-08	8.57e-08
CNR1	318.8667751	-1.527329897	0.208315855	-7.331798608	2.27e-13	1.14e-12
CPA3	1465.815949	-1.691926824	0.200173364	-8.452307496	2.86e-17	1.92e-16
CRTAC1	2124.984393	-2.5889633	0.25152172	-10.29319974	7.56e-25	8.72e-24
CTSG	81.13039524	-1.852481741	0.238997924	-7.751036962	9.11e-15	5.11e-14
DUOX1	2999.395362	-2.566860438	0.208107437	-12.33430421	5.92e-35	1.24e-33
FGF5	9.722726001	3.908180401	0.445240803	8.777678001	1.67e-18	1.23e-17
FNDC4	594.4956839	1.943568087	0.188832209	10.29256657	7.61e-25	8.78e-24
GATA1	11.61884477	-1.751839725	0.157488461	-11.12360685	9.63e-29	1.41e-27
IGF2BP3	616.5868519	4.00343478	0.273421786	14.64197436	1.52e-48	6.47e-47
IL1A	104.157644	-1.310901293	0.260811419	-5.02624195	5e-07	1.36e-06
KIF23	826.2212131	2.579621843	0.152562826	16.90858713	3.89e-64	3.31e-62
MELK	690.2275548	3.611045404	0.170884708	21.1314719	4.09e-99	1.95e-96
MKI67	3395.174995	3.10551661	0.161705657	19.20474936	3.38e-82	6.28e-80
MST1	282.8136483	1.293462735	0.155138662	8.337462232	7.59e-17	4.94e-16
PECAM1	11968.98771	-2.319226817	0.095957106	-24.16941188	4.67e-129	1.8e-125
PVALB	21.02282374	-1.316276494	0.21687576	-6.06926517	1.28e-09	4.61e-09
RASGRF1	1118.928288	-2.094788467	0.247037186	-8.479648355	2.26e-17	1.53e-16
SERPINH1	12782.14562	1.085759066	0.098868576	10.9818419	4.67e-28	6.57e-27
SRPK1	4036.025132	1.583253861	0.079589869	19.89265561	4.71e-88	1.25e-85
TFAP2A	716.4706022	3.73811419	0.203524293	18.3669189	2.42e-75	3.21e-73
TRPA1	44.48240246	2.385702354	0.2849463	8.372463011	5.64e-17	3.71e-16
TUBB6	2704.137531	-1.326024713	0.13042289	-10.1671165	2.78e-24	3.08e-23
UTS2	20.25403288	1.121972419	0.264867397	4.235977825	2.28e-05	5.06e-05
