ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0002274	myeloid leukocyte activation	6/29	251/18805	0.0239043824701195	15.5007555982965	9.08931802893447	1.95588731384607e-06	0.00227078517137529	0.00151941561854569	AGER/BTK/CAMP/CNR1/CTSG/GATA1	6
BP	GO:0032496	response to lipopolysaccharide	6/29	357/18805	0.0168067226890756	10.898290350623	7.42065488194215	1.47390595485814e-05	0.00799771596511015	0.00535138889546334	BTK/CAMP/CNR1/CTSG/GATA1/IL1A	6
BP	GO:0002237	response to molecule of bacterial origin	6/29	379/18805	0.0158311345646438	10.2656719133837	7.16149300005653	2.06659327263828e-05	0.00799771596511015	0.00535138889546334	BTK/CAMP/CNR1/CTSG/GATA1/IL1A	6
BP	GO:0042060	wound healing	6/29	450/18805	0.0133333333333333	8.64597701149425	6.45185550338586	5.4046524893446e-05	0.0128846578590316	0.00862131329612885	AGER/ALOX15/CTSG/DUOX1/GATA1/IL1A	6
BP	GO:0071216	cellular response to biotic stimulus	5/29	273/18805	0.0183150183150183	11.8763420487558	7.11419257318451	5.54894825970353e-05	0.0128846578590316	0.00862131329612885	BTK/CAMP/CTSG/GATA1/IL1A	5
BP	GO:0002002	regulation of angiotensin levels in blood	2/29	10/18805	0.2	129.689655172414	15.9972397667365	0.000102545904860813	0.0161526033140255	0.010807943465933	CPA3/CTSG	2
BP	GO:0002246	wound healing involved in inflammatory response	2/29	10/18805	0.2	129.689655172414	15.9972397667365	0.000102545904860813	0.0161526033140255	0.010807943465933	AGER/IL1A	2
BP	GO:0001660	fever generation	2/29	11/18805	0.181818181818182	117.899686520376	15.2413227497781	0.000125213979178493	0.0161526033140255	0.010807943465933	CNR1/IL1A	2
BP	GO:0035696	monocyte extravasation	2/29	11/18805	0.181818181818182	117.899686520376	15.2413227497781	0.000125213979178493	0.0161526033140255	0.010807943465933	AGER/PECAM1	2
BP	GO:0045576	mast cell activation	3/29	69/18805	0.0434782608695652	28.1934032983508	8.89349063459975	0.000161337018409322	0.0162629878954023	0.0108818034061444	BTK/CNR1/GATA1	3
BP	GO:0002863	positive regulation of inflammatory response to antigenic stimulus	2/29	13/18805	0.153846153846154	99.7612732095491	13.9989169262348	0.000177236624551954	0.0162629878954023	0.0108818034061444	BTK/CNR1	2
BP	GO:0045766	positive regulation of angiogenesis	4/29	192/18805	0.0208333333333333	13.5093390804598	6.84698493531998	0.000204826155850676	0.0162629878954023	0.0108818034061444	BRCA1/CAMP/CHI3L1/IL1A	4
BP	GO:0008217	regulation of blood pressure	4/29	194/18805	0.0206185567010309	13.3700675435478	6.80629335200631	0.000213110504237015	0.0162629878954023	0.0108818034061444	CNR1/CPA3/CTSG/UTS2	4
BP	GO:1904018	positive regulation of vasculature development	4/29	195/18805	0.0205128205128205	13.3015030946065	6.78617228601859	0.000217342174224659	0.0162629878954023	0.0108818034061444	BRCA1/CAMP/CHI3L1/IL1A	4
BP	GO:0070374	positive regulation of ERK1 and ERK2 cascade	4/29	198/18805	0.0202020202020202	13.0999651689307	6.72668542665108	0.000230401316393853	0.0162629878954023	0.0108818034061444	AGER/ALOX15/CHI3L1/IL1A	4
