Top variables:
         depth   vimp
TFAP2A   4.454  0.030
MST1     4.889  0.006
TRPA1    5.036  0.007
FGF5     5.169  0.010
BTK      5.402  0.021
ALOX15   5.419  0.006
CRTAC1   5.462  0.009
CNR1     5.499 -0.001
IL1A     5.571  0.000
IGF2BP3  5.585  0.008
TUBB6    5.801  0.003
AGER     5.802 -0.002
SRPK1    5.919  0.000
MKI67    6.009  0.013
SERPINH1 6.026  0.003
CPA3     6.049  0.003
RASGRF1  6.093  0.002
MELK     6.237  0.008
FNDC4    6.298 -0.001
UTS2     6.337  0.009
DUOX1    6.345  0.005
KIF23    6.347  0.012
CTSG     6.355  0.006
PVALB    6.377  0.008
CHI3L1   6.618  0.002
CAMP     6.688  0.004
GATA1    6.726  0.004
