Factor	Hazard Ratio (95% CI)	P value			
GSDMA	0.932(0.844-1.03)	0.167	0.932	0.844	1.03
GSDMB	0.972(0.874-1.081)	0.6	0.972	0.874	1.081
GSDMC	1.022(0.947-1.103)	0.577	1.022	0.947	1.103
GSDMD	0.881(0.733-1.059)	0.177	0.881	0.733	1.059
PRKACA	0.642(0.441-0.937)	0.022	0.642	0.441	0.937
CASP9	1.28(1.002-1.634)	0.048	1.28	1.002	1.634
ELANE	0.958(0.879-1.045)	0.336	0.958	0.879	1.045
NLRP6	0.988(0.867-1.126)	0.857	0.988	0.867	1.126
NLRP1	0.766(0.677-0.867)	<0.001	0.766	0.677	0.867
NLRP2	0.948(0.899-1)	0.049	0.948	0.899	1
IL6	1.002(0.925-1.085)	0.958	1.002	0.925	1.085
NLRC4	0.839(0.735-0.958)	0.009	0.839	0.735	0.958
TNF	0.911(0.826-1.005)	0.063	0.911	0.826	1.005
IL1B	0.969(0.88-1.066)	0.512	0.969	0.88	1.066
IL18	1.06(0.935-1.202)	0.365	1.06	0.935	1.202
AIM2	0.993(0.927-1.064)	0.852	0.993	0.927	1.064
NOD1	0.743(0.626-0.884)	0.001	0.743	0.626	0.884
NOD2	0.884(0.763-1.024)	0.099	0.884	0.763	1.024
CASP6	1.183(0.936-1.495)	0.159	1.183	0.936	1.495
CASP4	1.081(0.892-1.31)	0.429	1.081	0.892	1.31
CASP5	1.004(0.902-1.117)	0.942	1.004	0.902	1.117
CASP3	1.203(0.894-1.617)	0.222	1.203	0.894	1.617
CASP1	0.911(0.795-1.045)	0.183	0.911	0.795	1.045
CASP8	1.049(0.811-1.357)	0.715	1.049	0.811	1.357
TIRAP	1.101(0.889-1.363)	0.38	1.101	0.889	1.363
NLRP7	0.933(0.847-1.027)	0.154	0.933	0.847	1.027
NLRP3	0.893(0.797-1.001)	0.051	0.893	0.797	1.001
PYCARD	1.075(0.932-1.239)	0.32	1.075	0.932	1.239
GPX4	0.851(0.688-1.051)	0.134	0.851	0.688	1.051
PLCG1	0.78(0.633-0.961)	0.02	0.78	0.633	0.961
