gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FAM83A	6536.411052	6.784366211	0.23564492	28.79063216	2.81E-182	9.77E-178
PYCR1	5195.012598	3.702125422	0.129580656	28.57004702	1.58E-179	2.75E-175
OTUD1	1112.622922	-2.11846582	0.081341251	-26.0441756	1.57E-149	1.81E-145
EPAS1	27431.66945	-2.719654494	0.110403848	-24.63369303	5.50E-134	4.78E-130
SPAAR	61.18776371	-2.718237365	0.111135102	-24.45885517	4.05E-132	2.82E-128
AFAP1-AS1	3190.380927	6.337986006	0.259786051	24.39694505	1.84E-131	1.07E-127
TEDC2	271.7922477	3.509092147	0.144949475	24.20907108	1.79E-129	8.44E-126
ETV4	2121.600881	3.829789283	0.158219087	24.20560858	1.94E-129	8.44E-126
PECAM1	11968.98771	-2.319226817	0.095957106	-24.16941188	4.67E-129	1.80E-125
B3GNT3	2045.460622	4.381616973	0.183050253	23.93668903	1.27E-126	4.42E-123
TUBB3	362.3651752	4.727330737	0.198068927	23.86709921	6.73E-126	2.13E-122
IQGAP3	1359.804908	3.607112709	0.151384343	23.82751509	1.73E-125	5.02E-122
TOP2A	5350.672599	3.859889055	0.162556478	23.74491064	1.24E-124	3.32E-121
S1PR1	1752.304501	-2.852610187	0.121110896	-23.55370401	1.15E-122	2.86E-119
ACVRL1	2236.641326	-2.571782183	0.109399537	-23.5081634	3.37E-122	7.80E-119
RGCC	3393.742878	-2.878371974	0.122635257	-23.47099885	8.07E-122	1.75E-118
STX11	547.3999566	-3.006018374	0.128145513	-23.45785123	1.10E-121	2.25E-118
SAPCD2	725.4435991	3.761718862	0.160537517	23.43202346	2.02E-121	3.89E-118
FAM83A-AS1	178.1508681	6.540248099	0.280542525	23.31285822	3.28E-120	6.01E-117
SEMA3G	718.8316702	-3.223623195	0.138390047	-23.29375031	5.13E-120	8.92E-117
EMP2	17901.12863	-2.747228711	0.118401498	-23.20265166	4.28E-119	7.09E-116
RTKN2	2104.634258	-4.062886817	0.176708762	-22.99199411	5.61E-117	8.86E-114
RAMP3	1114.624946	-3.224846217	0.140888055	-22.88942255	5.92E-116	8.95E-113
TEK	956.857507	-3.24959808	0.142032572	-22.87924542	7.48E-116	1.08E-112
KIF4A	867.2053044	3.827350709	0.168471318	22.71811464	2.97E-114	4.13E-111
PTPN21	1266.696809	-2.451884674	0.10820507	-22.65960998	1.12E-113	1.50E-110
HSPA12B	432.2414401	-2.792034475	0.124180296	-22.48371565	5.99E-112	7.71E-109
FAM107A	1733.59265	-4.545907719	0.202631279	-22.43438294	1.82E-111	2.26E-108
ADM2	757.0238514	3.461994907	0.154387369	22.42408127	2.29E-111	2.75E-108
MEX3A	1313.482606	4.176810923	0.186523952	22.39289313	4.62E-111	5.35E-108
UBE2T	827.2077601	3.297981031	0.147321756	22.3862457	5.36E-111	6.01E-108
TMPRSS4	5456.254607	4.826506703	0.216400779	22.30355515	3.41E-110	3.71E-107
CRABP2	8037.943523	5.570236975	0.249997109	22.28120558	5.62E-110	5.92E-107
RAMP2	991.24919	-2.883350726	0.130048604	-22.17133161	6.50E-109	6.64E-106
WWC2	2143.604811	-2.35099341	0.106150943	-22.14764509	1.10E-108	1.09E-105
HJURP	694.7082348	3.857315182	0.17425673	22.13581757	1.43E-108	1.38E-105
TMEM184A	1979.394795	3.122940854	0.141202082	22.11681872	2.18E-108	2.05E-105
LDB2	1134.332818	-2.600807987	0.117702086	-22.09653266	3.41E-108	3.12E-105
ABCA12	591.5184591	5.386567086	0.244071406	22.06963596	6.19E-108	5.52E-105
NEK2	684.1600986	3.7361128	0.169299568	22.06805869	6.41E-108	5.57E-105
KIF14	444.048855	3.756938263	0.170920219	21.9806544	4.41E-107	3.74E-104
UHRF1	687.6322506	3.345049025	0.152867381	21.88203266	3.85E-106	3.19E-103
CDC25C	197.1673322	3.659011964	0.167369592	21.86186822	5.99E-106	4.85E-103
COL10A1	2750.291844	4.605327647	0.211910136	21.73245574	1.01E-104	8.00E-102
PTPRH	737.0837301	5.190503347	0.239247357	21.69513353	2.28E-104	1.76E-101
ASPM	999.144967	3.74445463	0.172645251	21.68872067	2.62E-104	1.98E-101
CDC20	1534.545454	3.768017706	0.173833833	21.67597438	3.46E-104	2.56E-101
GOLM1	13250.11824	2.636156757	0.121660555	21.66813034	4.10E-104	2.97E-101
DLGAP5	735.2814365	3.679999681	0.170376627	21.59920495	1.83E-103	1.30E-100
LIMS2	1217.984258	-2.810710776	0.130209029	-21.58614347	2.42E-103	1.69E-100
EDNRB	1538.033715	-3.495696206	0.161988006	-21.57996939	2.77E-103	1.89E-100
ROBO4	1567.686625	-2.844312151	0.131944766	-21.55683954	4.57E-103	3.05E-100
ANLN	2102.252684	3.782299512	0.175580063	21.54173679	6.33E-103	4.15E-100
MMP11	4455.547845	5.519294282	0.256413929	21.52493939	9.09E-103	5.85E-100
CTHRC1	3136.905061	3.779892829	0.175639239	21.52077661	9.95E-103	6.29E-100
PRX	1118.978847	-3.37801713	0.157146303	-21.49600129	1.70E-102	1.05E-99
BUB1B	669.1460464	3.394941207	0.158062193	21.4785152	2.47E-102	1.51E-99
UBE2C	1696.285722	4.178215037	0.194566171	21.4745195	2.69E-102	1.62E-99
CENPF	2367.721113	3.491276869	0.162682224	21.46071515	3.63E-102	2.14E-99
KIF2C	1029.659379	3.568842823	0.166927492	21.37959888	2.07E-101	1.20E-98
NUF2	564.9280822	3.707231959	0.173406748	21.37882183	2.10E-101	1.20E-98
CDH5	3149.353942	-2.55405289	0.119505596	-21.37182664	2.44E-101	1.37E-98
ERCC6L	208.44185	3.297453324	0.154439934	21.35104078	3.81E-101	2.10E-98
Z98257.1	484.6708664	6.057673596	0.283814902	21.34374745	4.46E-101	2.42E-98
JAM2	758.3297927	-2.513405434	0.118007315	-21.29872576	1.17E-100	6.24E-98
CDC6	957.1602652	3.414431068	0.16064155	21.25496835	2.97E-100	1.56E-97
KIF18B	567.5274547	3.760674052	0.177304065	21.21030931	7.67E-100	3.98E-97
E2F8	346.8087056	3.173365744	0.149713129	21.19630903	1.03E-99	5.28E-97
KIF20A	859.7646099	3.145063042	0.148414755	21.19104018	1.16E-99	5.82E-97
GREM1	2744.132748	5.022862009	0.237134492	21.18149062	1.41E-99	7.03E-97
ECSCR	186.1126849	-2.384202174	0.112713317	-21.15279924	2.60E-99	1.27E-96
CYP24A1	4229.499019	6.697536053	0.316888586	21.13530226	3.77E-99	1.82E-96
MELK	690.2275548	3.611045404	0.170884708	21.1314719	4.09E-99	1.95E-96
TROAP	614.4893724	3.825958277	0.181170216	21.11803121	5.43E-99	2.55E-96
XRCC2	301.317175	3.229916267	0.153004967	21.10987858	6.45E-99	2.99E-96
SPAG5	1374.912921	3.086330754	0.146249014	21.10325847	7.42E-99	3.40E-96
EXO1	423.196245	3.593118483	0.170521815	21.07131263	1.46E-98	6.58E-96
PLK1	1141.392496	3.20927596	0.152505581	21.04366239	2.61E-98	1.16E-95
DEPDC1	492.2019	3.835092663	0.182668475	20.99482494	7.31E-98	3.22E-95
SH2D3C	1126.937682	-2.298367369	0.109548423	-20.98037834	9.91E-98	4.31E-95
CD101	293.1938544	-2.793736885	0.133164051	-20.97966273	1.01E-97	4.32E-95
KIF26B	2089.468567	3.132446167	0.149361392	20.97226141	1.18E-97	4.98E-95
PLEKHN1	331.3159938	3.125606897	0.149090441	20.96450234	1.38E-97	5.79E-95
COL11A1	3124.445378	6.225846927	0.297083549	20.95655229	1.64E-97	6.77E-95
TPX2	2496.127616	3.634512225	0.173871872	20.90339389	4.99E-97	2.04E-94
ORC6	340.7518141	3.042737811	0.145857523	20.86102763	1.21E-96	4.89E-94
DEPDC1B	343.7855734	3.600312296	0.172761899	20.83973556	1.89E-96	7.55E-94
KANK3	342.1617383	-2.841878437	0.136440479	-20.8287047	2.38E-96	9.39E-94
FEZF1-AS1	335.7854807	6.163040792	0.295903271	20.82789007	2.42E-96	9.45E-94
AL590226.1	28.07010411	-3.694093463	0.177377089	-20.82621539	2.50E-96	9.68E-94
BIRC5	1793.176083	3.671424282	0.176419719	20.81073652	3.46E-96	1.32E-93
PITX2	331.5691919	8.201860377	0.394726485	20.77859148	6.76E-96	2.55E-93
CYYR1	782.6264508	-2.275441511	0.109746839	-20.73354948	1.73E-95	6.45E-93
