gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
OTUD1	1112.622922	-2.11846582	0.081341251	-26.0441756	1.57E-149	1.81E-145
EPAS1	27431.66945	-2.719654494	0.110403848	-24.63369303	5.50E-134	4.78E-130
SPAAR	61.18776371	-2.718237365	0.111135102	-24.45885517	4.05E-132	2.82E-128
PECAM1	11968.98771	-2.319226817	0.095957106	-24.16941188	4.67E-129	1.80E-125
S1PR1	1752.304501	-2.852610187	0.121110896	-23.55370401	1.15E-122	2.86E-119
ACVRL1	2236.641326	-2.571782183	0.109399537	-23.5081634	3.37E-122	7.80E-119
RGCC	3393.742878	-2.878371974	0.122635257	-23.47099885	8.07E-122	1.75E-118
STX11	547.3999566	-3.006018374	0.128145513	-23.45785123	1.10E-121	2.25E-118
SEMA3G	718.8316702	-3.223623195	0.138390047	-23.29375031	5.13E-120	8.92E-117
EMP2	17901.12863	-2.747228711	0.118401498	-23.20265166	4.28E-119	7.09E-116
RTKN2	2104.634258	-4.062886817	0.176708762	-22.99199411	5.61E-117	8.86E-114
RAMP3	1114.624946	-3.224846217	0.140888055	-22.88942255	5.92E-116	8.95E-113
TEK	956.857507	-3.24959808	0.142032572	-22.87924542	7.48E-116	1.08E-112
PTPN21	1266.696809	-2.451884674	0.10820507	-22.65960998	1.12E-113	1.50E-110
HSPA12B	432.2414401	-2.792034475	0.124180296	-22.48371565	5.99E-112	7.71E-109
FAM107A	1733.59265	-4.545907719	0.202631279	-22.43438294	1.82E-111	2.26E-108
RAMP2	991.24919	-2.883350726	0.130048604	-22.17133161	6.50E-109	6.64E-106
WWC2	2143.604811	-2.35099341	0.106150943	-22.14764509	1.10E-108	1.09E-105
LDB2	1134.332818	-2.600807987	0.117702086	-22.09653266	3.41E-108	3.12E-105
LIMS2	1217.984258	-2.810710776	0.130209029	-21.58614347	2.42E-103	1.69E-100
EDNRB	1538.033715	-3.495696206	0.161988006	-21.57996939	2.77E-103	1.89E-100
ROBO4	1567.686625	-2.844312151	0.131944766	-21.55683954	4.57E-103	3.05E-100
PRX	1118.978847	-3.37801713	0.157146303	-21.49600129	1.70E-102	1.05E-99
CDH5	3149.353942	-2.55405289	0.119505596	-21.37182664	2.44E-101	1.37E-98
JAM2	758.3297927	-2.513405434	0.118007315	-21.29872576	1.17E-100	6.24E-98
ECSCR	186.1126849	-2.384202174	0.112713317	-21.15279924	2.60E-99	1.27E-96
SH2D3C	1126.937682	-2.298367369	0.109548423	-20.98037834	9.91E-98	4.31E-95
CD101	293.1938544	-2.793736885	0.133164051	-20.97966273	1.01E-97	4.32E-95
KANK3	342.1617383	-2.841878437	0.136440479	-20.8287047	2.38E-96	9.39E-94
AL590226.1	28.07010411	-3.694093463	0.177377089	-20.82621539	2.50E-96	9.68E-94
CYYR1	782.6264508	-2.275441511	0.109746839	-20.73354948	1.73E-95	6.45E-93
CALCRL	2366.864223	-2.756443665	0.133932034	-20.58091398	4.07E-94	1.50E-91
FCN3	1507.558135	-4.518532418	0.220503482	-20.49188695	2.54E-93	9.11E-91
SPOCK2	6370.240654	-3.201664164	0.156345013	-20.47819823	3.37E-93	1.20E-90
FOXF1	599.8182777	-2.743723759	0.134369326	-20.41927154	1.13E-92	3.92E-90
TAL1	192.4938511	-2.790493252	0.136675237	-20.41696293	1.18E-92	4.07E-90
MYZAP	182.7134837	-3.325185481	0.163279234	-20.36502381	3.42E-92	1.15E-89
FGD5	1335.657279	-2.257780085	0.111055774	-20.33014593	6.96E-92	2.26E-89
PLAC9	286.940047	-2.717919623	0.134527484	-20.20345241	9.13E-91	2.74E-88
CLEC1A	185.82603	-2.312476572	0.114872687	-20.13077803	3.97E-90	1.17E-87
GIMAP8	1101.666604	-2.457438516	0.122101847	-20.12613705	4.36E-90	1.27E-87
SMAD6	871.8492478	-2.55853266	0.127455514	-20.07392679	1.25E-89	3.53E-87
GRK5	1465.034259	-2.493761768	0.125288287	-19.90418922	3.74E-88	1.01E-85
CAVIN2	3604.427404	-3.308026753	0.16623249	-19.90000119	4.07E-88	1.09E-85
ANGPT4	54.42556637	-4.229455744	0.213003543	-19.8562694	9.73E-88	2.49E-85
PRKCE	1056.916124	-1.861251815	0.093757431	-19.85177922	1.06E-87	2.70E-85
SLC6A4	1106.995903	-6.149768951	0.31056078	-19.80214293	2.85E-87	6.98E-85
STARD8	704.0088647	-2.212687037	0.111925803	-19.76923085	5.48E-87	1.30E-84
LRRC32	2183.749099	-2.379220698	0.120667559	-19.71715274	1.54E-86	3.54E-84
C20orf202	22.83340114	-2.626144139	0.133769142	-19.63191284	8.25E-86	1.85E-83
FHL1	3116.211416	-3.411543769	0.173939723	-19.61336785	1.19E-85	2.65E-83
KANK2	4694.816338	-1.64642016	0.084114304	-19.57360496	2.60E-85	5.68E-83
MYCT1	511.2550376	-2.255674976	0.115305307	-19.56262935	3.22E-85	7.00E-83
ARHGEF15	679.0931975	-2.456245005	0.125735792	-19.5349706	5.54E-85	1.17E-82
AL606469.1	23.06877821	-5.174886156	0.265006503	-19.52739311	6.42E-85	1.35E-82
AC093110.1	118.448083	-3.218243715	0.165042625	-19.49947006	1.11E-84	2.28E-82
FMO2	2770.439491	-3.271802669	0.167965674	-19.47899583	1.65E-84	3.36E-82
CLEC14A	1530.821126	-2.300798784	0.118133524	-19.47625616	1.75E-84	3.53E-82
STARD13	845.4135829	-2.005979797	0.103386881	-19.4026532	7.33E-84	1.44E-81
ERG	1006.502797	-2.147303633	0.11149984	-19.2583562	1.20E-82	2.27E-80
CCM2L	191.0987641	-2.512787681	0.13090741	-19.19515239	4.06E-82	7.51E-80
USHBP1	168.8235387	-2.320831046	0.120917417	-19.19352153	4.19E-82	7.71E-80
ARHGEF26	1147.326213	-2.665729673	0.139010514	-19.17646075	5.82E-82	1.06E-79
CSRNP1	3310.75313	-2.390844479	0.124916252	-19.13957908	1.18E-81	2.12E-79
NOVA2	263.6129222	-2.423734226	0.126882875	-19.10213826	2.42E-81	4.30E-79
MMRN2	1403.416237	-2.135579574	0.111847101	-19.09374101	2.85E-81	5.00E-79
THSD1	273.1399615	-2.240680871	0.11763384	-19.04792767	6.84E-81	1.18E-78
FABP4	958.6434646	-4.892368029	0.257950515	-18.96630454	3.24E-80	5.47E-78
ADRB2	447.5818043	-3.079175836	0.162570111	-18.9406024	5.28E-80	8.87E-78
AGER	14273.16583	-5.026373216	0.265429809	-18.9367322	5.68E-80	9.50E-78
CAT	5653.942889	-1.910764272	0.101340767	-18.85484326	2.68E-79	4.32E-77
CAV1	12699.90371	-3.428224389	0.181822284	-18.85480877	2.68E-79	4.32E-77
PDLIM2	1347.06296	-1.953078949	0.103742383	-18.82623951	4.60E-79	7.27E-77
GPR146	89.6268565	-2.2865827	0.121511606	-18.81781316	5.40E-79	8.45E-77
CLEC3B	939.9440506	-3.698953095	0.196941658	-18.78197399	1.06E-78	1.65E-76
HID1-AS1	11.30432448	-2.816130796	0.150171735	-18.75273529	1.84E-78	2.81E-76
NDST1	5596.187883	-1.602704986	0.085563356	-18.73120771	2.76E-78	4.18E-76
GRASP	574.1030808	-2.347965367	0.125572768	-18.69804583	5.14E-78	7.73E-76
GYPE	37.93083255	-3.275129324	0.175418936	-18.67032947	8.63E-78	1.29E-75
SGCG	42.97609138	-3.833755199	0.205761471	-18.63203634	1.77E-77	2.60E-75
AL109741.1	12.93614752	-2.534033367	0.136050951	-18.62562036	1.99E-77	2.91E-75
LMO2	681.0658847	-1.921542452	0.103297958	-18.60194033	3.10E-77	4.47E-75
VIPR1	1379.189726	-3.230288717	0.174186379	-18.5450133	8.95E-77	1.27E-74
LYVE1	637.0900926	-3.193472519	0.172633577	-18.49855968	2.12E-76	3.01E-74
TMEM100	1139.961305	-4.343983826	0.235127335	-18.47502686	3.28E-76	4.60E-74
SOX7	354.9360293	-2.939579691	0.15916293	-18.4689971	3.67E-76	5.10E-74
LINC00968	68.71327665	-3.517155263	0.190510673	-18.46172292	4.20E-76	5.79E-74
PNPLA6	3698.179072	-1.568313738	0.085051596	-18.43955692	6.33E-76	8.69E-74
AC084880.1	26.55282315	-2.506982895	0.136032579	-18.42928306	7.65E-76	1.04E-73
CASKIN2	2013.665221	-1.690717208	0.092136752	-18.35008474	3.30E-75	4.34E-73
PTPRB	2870.661958	-2.590763053	0.141234806	-18.34365853	3.71E-75	4.87E-73
SASH1	1977.950266	-1.855020449	0.101254732	-18.32033343	5.70E-75	7.42E-73
MIR3945HG	45.14515322	-3.563466518	0.19496384	-18.27757656	1.25E-74	1.61E-72
SLC39A8	8270.53356	-2.49481234	0.136531177	-18.27283992	1.36E-74	1.75E-72
FENDRR	478.22124	-3.882463242	0.212606991	-18.26122096	1.68E-74	2.16E-72
EMCN	933.7577526	-2.740610767	0.150078631	-18.26116583	1.69E-74	2.16E-72
STX12	3326.321533	-1.045885849	0.057376048	-18.22861435	3.06E-74	3.90E-72
RASIP1	684.1863523	-2.312053312	0.127170247	-18.18077231	7.33E-74	9.26E-72
SPTBN1	23222.76665	-1.740851583	0.095901045	-18.15258199	1.23E-73	1.53E-71
