gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FAM83A	6536.411052	6.784366211	0.23564492	28.79063216	2.81E-182	9.77E-178
PYCR1	5195.012598	3.702125422	0.129580656	28.57004702	1.58E-179	2.75E-175
AFAP1-AS1	3190.380927	6.337986006	0.259786051	24.39694505	1.84E-131	1.07E-127
TEDC2	271.7922477	3.509092147	0.144949475	24.20907108	1.79E-129	8.44E-126
ETV4	2121.600881	3.829789283	0.158219087	24.20560858	1.94E-129	8.44E-126
B3GNT3	2045.460622	4.381616973	0.183050253	23.93668903	1.27E-126	4.42E-123
TUBB3	362.3651752	4.727330737	0.198068927	23.86709921	6.73E-126	2.13E-122
IQGAP3	1359.804908	3.607112709	0.151384343	23.82751509	1.73E-125	5.02E-122
TOP2A	5350.672599	3.859889055	0.162556478	23.74491064	1.24E-124	3.32E-121
SAPCD2	725.4435991	3.761718862	0.160537517	23.43202346	2.02E-121	3.89E-118
FAM83A-AS1	178.1508681	6.540248099	0.280542525	23.31285822	3.28E-120	6.01E-117
KIF4A	867.2053044	3.827350709	0.168471318	22.71811464	2.97E-114	4.13E-111
ADM2	757.0238514	3.461994907	0.154387369	22.42408127	2.29E-111	2.75E-108
MEX3A	1313.482606	4.176810923	0.186523952	22.39289313	4.62E-111	5.35E-108
UBE2T	827.2077601	3.297981031	0.147321756	22.3862457	5.36E-111	6.01E-108
TMPRSS4	5456.254607	4.826506703	0.216400779	22.30355515	3.41E-110	3.71E-107
CRABP2	8037.943523	5.570236975	0.249997109	22.28120558	5.62E-110	5.92E-107
HJURP	694.7082348	3.857315182	0.17425673	22.13581757	1.43E-108	1.38E-105
TMEM184A	1979.394795	3.122940854	0.141202082	22.11681872	2.18E-108	2.05E-105
ABCA12	591.5184591	5.386567086	0.244071406	22.06963596	6.19E-108	5.52E-105
NEK2	684.1600986	3.7361128	0.169299568	22.06805869	6.41E-108	5.57E-105
KIF14	444.048855	3.756938263	0.170920219	21.9806544	4.41E-107	3.74E-104
UHRF1	687.6322506	3.345049025	0.152867381	21.88203266	3.85E-106	3.19E-103
CDC25C	197.1673322	3.659011964	0.167369592	21.86186822	5.99E-106	4.85E-103
COL10A1	2750.291844	4.605327647	0.211910136	21.73245574	1.01E-104	8.00E-102
PTPRH	737.0837301	5.190503347	0.239247357	21.69513353	2.28E-104	1.76E-101
ASPM	999.144967	3.74445463	0.172645251	21.68872067	2.62E-104	1.98E-101
CDC20	1534.545454	3.768017706	0.173833833	21.67597438	3.46E-104	2.56E-101
GOLM1	13250.11824	2.636156757	0.121660555	21.66813034	4.10E-104	2.97E-101
DLGAP5	735.2814365	3.679999681	0.170376627	21.59920495	1.83E-103	1.30E-100
ANLN	2102.252684	3.782299512	0.175580063	21.54173679	6.33E-103	4.15E-100
MMP11	4455.547845	5.519294282	0.256413929	21.52493939	9.09E-103	5.85E-100
CTHRC1	3136.905061	3.779892829	0.175639239	21.52077661	9.95E-103	6.29E-100
BUB1B	669.1460464	3.394941207	0.158062193	21.4785152	2.47E-102	1.51E-99
UBE2C	1696.285722	4.178215037	0.194566171	21.4745195	2.69E-102	1.62E-99
CENPF	2367.721113	3.491276869	0.162682224	21.46071515	3.63E-102	2.14E-99
KIF2C	1029.659379	3.568842823	0.166927492	21.37959888	2.07E-101	1.20E-98
NUF2	564.9280822	3.707231959	0.173406748	21.37882183	2.10E-101	1.20E-98
ERCC6L	208.44185	3.297453324	0.154439934	21.35104078	3.81E-101	2.10E-98
Z98257.1	484.6708664	6.057673596	0.283814902	21.34374745	4.46E-101	2.42E-98
CDC6	957.1602652	3.414431068	0.16064155	21.25496835	2.97E-100	1.56E-97
KIF18B	567.5274547	3.760674052	0.177304065	21.21030931	7.67E-100	3.98E-97
E2F8	346.8087056	3.173365744	0.149713129	21.19630903	1.03E-99	5.28E-97
KIF20A	859.7646099	3.145063042	0.148414755	21.19104018	1.16E-99	5.82E-97
GREM1	2744.132748	5.022862009	0.237134492	21.18149062	1.41E-99	7.03E-97
CYP24A1	4229.499019	6.697536053	0.316888586	21.13530226	3.77E-99	1.82E-96
MELK	690.2275548	3.611045404	0.170884708	21.1314719	4.09E-99	1.95E-96
TROAP	614.4893724	3.825958277	0.181170216	21.11803121	5.43E-99	2.55E-96
XRCC2	301.317175	3.229916267	0.153004967	21.10987858	6.45E-99	2.99E-96
SPAG5	1374.912921	3.086330754	0.146249014	21.10325847	7.42E-99	3.40E-96
EXO1	423.196245	3.593118483	0.170521815	21.07131263	1.46E-98	6.58E-96
PLK1	1141.392496	3.20927596	0.152505581	21.04366239	2.61E-98	1.16E-95
DEPDC1	492.2019	3.835092663	0.182668475	20.99482494	7.31E-98	3.22E-95
KIF26B	2089.468567	3.132446167	0.149361392	20.97226141	1.18E-97	4.98E-95
PLEKHN1	331.3159938	3.125606897	0.149090441	20.96450234	1.38E-97	5.79E-95
COL11A1	3124.445378	6.225846927	0.297083549	20.95655229	1.64E-97	6.77E-95
TPX2	2496.127616	3.634512225	0.173871872	20.90339389	4.99E-97	2.04E-94
ORC6	340.7518141	3.042737811	0.145857523	20.86102763	1.21E-96	4.89E-94
DEPDC1B	343.7855734	3.600312296	0.172761899	20.83973556	1.89E-96	7.55E-94
FEZF1-AS1	335.7854807	6.163040792	0.295903271	20.82789007	2.42E-96	9.45E-94
BIRC5	1793.176083	3.671424282	0.176419719	20.81073652	3.46E-96	1.32E-93
PITX2	331.5691919	8.201860377	0.394726485	20.77859148	6.76E-96	2.55E-93
SYT12	1342.895525	5.698578401	0.277286106	20.55125838	7.50E-94	2.74E-91
ZYG11A	153.5179846	5.381638949	0.2618957	20.54878696	7.89E-94	2.86E-91
ALDH18A1	4943.379161	1.612418005	0.07888151	20.44101333	7.22E-93	2.54E-90
CDCA8	857.6267961	3.0396499	0.149080322	20.38934356	2.08E-92	7.09E-90
SPAG4	696.1399516	2.898046092	0.142306165	20.3648668	3.43E-92	1.15E-89
LINC01977	70.62922194	4.937188581	0.242509209	20.35876743	3.88E-92	1.29E-89
RASAL1	493.1683522	4.026099691	0.197814248	20.35293073	4.37E-92	1.43E-89
GINS1	686.7607012	3.039283436	0.149498936	20.32979977	7.01E-92	2.26E-89
CEP55	1023.005037	3.246637638	0.159756488	20.32241494	8.15E-92	2.60E-89
RAD54L	275.073031	3.274483152	0.161220806	20.31054942	1.04E-91	3.28E-89
ZFPM2-AS1	168.7102459	5.408111631	0.266395315	20.30107633	1.26E-91	3.94E-89
RECQL4	1066.799007	3.01843032	0.148714751	20.29677818	1.37E-91	4.26E-89
ATP10B	737.4875558	5.495152713	0.271568027	20.2349031	4.83E-91	1.48E-88
EZH2	922.4586033	2.542816649	0.125685163	20.23163749	5.16E-91	1.57E-88
LINC00511	1056.245253	3.0707738	0.151914742	20.21379733	7.40E-91	2.24E-88
LGR4	3203.544249	2.720875675	0.134688291	20.20127847	9.54E-91	2.83E-88
STIL	583.8609848	2.561952774	0.127365253	20.11500555	5.45E-90	1.58E-87
MYEOV	907.3798429	6.270900323	0.312092694	20.09306995	8.49E-90	2.44E-87
PPP1R14D	602.1562031	5.971513857	0.297422975	20.07751369	1.16E-89	3.31E-87
EPHA10	527.5184535	3.621892175	0.18082542	20.02977331	3.03E-89	8.50E-87
FRMD5	338.5836107	3.573910986	0.178649027	20.00520824	4.96E-89	1.38E-86
MCM10	410.0260308	3.533722799	0.176956354	19.9694598	1.02E-88	2.80E-86
SKA3	312.8702544	3.193975195	0.160176909	19.94029731	1.82E-88	4.98E-86
FUT2	1032.033235	3.177473578	0.15935802	19.93921349	1.86E-88	5.05E-86
SRPK1	4036.025132	1.583253861	0.079589869	19.89265561	4.71E-88	1.25E-85
EFNA3	259.9083713	3.049908546	0.153345987	19.88906653	5.06E-88	1.33E-85
CBLC	876.6420383	3.200282081	0.161058898	19.87025938	7.36E-88	1.92E-85
TMPRSS11E	598.4155607	6.710186871	0.337710807	19.86962435	7.46E-88	1.93E-85
CST1	747.6117573	6.841825151	0.344527078	19.8585992	9.29E-88	2.39E-85
SGO1	203.5211505	3.217701384	0.162154422	19.84343903	1.26E-87	3.16E-85
ARHGEF39	315.7425881	2.442647001	0.123140077	19.83632834	1.45E-87	3.62E-85
CCNB1	1817.789059	2.969668499	0.149773027	19.8277925	1.71E-87	4.26E-85
