gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ADAMTS9-AS2	66.66301461	-1.42896306	0.208344748	-6.858646892	6.95e-12	3.07e-11
AGER	14273.16583	-5.026373216	0.265429809	-18.9367322	5.68e-80	9.5e-78
ALOX15	497.9359002	-2.1142145	0.319449958	-6.618296383	3.63e-11	1.5e-10
APOA1	21.71586301	-1.804376636	0.262820583	-6.865431209	6.63e-12	2.93e-11
ATOH8	1826.932133	-1.544800985	0.226771813	-6.812138456	9.62e-12	4.2e-11
AXL	3040.228602	-1.0031978	0.12756618	-7.864136113	3.72e-15	2.15e-14
BHLHE41	1141.749529	-1.036186419	0.147537332	-7.023215088	2.17e-12	1e-11
BTK	760.8267745	-1.399609848	0.129047663	-10.84568151	2.09e-27	2.82e-26
CAMP	38.52459927	-2.660161113	0.246781528	-10.77941747	4.31e-27	5.68e-26
CASP5	27.98282559	-1.347455514	0.172646339	-7.804715224	5.96e-15	3.4e-14
CCL15-CCL14	4.341639213	-1.426482375	0.37888011	-3.764996725	0.000166551	0.000329163
CCND2-AS1	2.335178336	-1.043162764	0.248798861	-4.192795576	2.76e-05	6.07e-05
CLEC3B	939.9440506	-3.698953095	0.196941658	-18.78197399	1.06e-78	1.65e-76
CMA1	12.78993899	-1.777854183	0.244190445	-7.280605041	3.32e-13	1.65e-12
CNR1	318.8667751	-1.527329897	0.208315855	-7.331798608	2.27e-13	1.14e-12
CPA3	1465.815949	-1.691926824	0.200173364	-8.452307496	2.86e-17	1.92e-16
CRTAC1	2124.984393	-2.5889633	0.25152172	-10.29319974	7.56e-25	8.72e-24
CTSG	81.13039524	-1.852481741	0.238997924	-7.751036962	9.11e-15	5.11e-14
CYBB	6335.49486	-1.350211003	0.158791779	-8.503028386	1.85e-17	1.26e-16
DUOX1	2999.395362	-2.566860438	0.208107437	-12.33430421	5.92e-35	1.24e-33
ETS1	5789.006	-1.186267232	0.113160158	-10.48308214	1.03e-25	1.25e-24
FPR2	254.3417953	-2.963094341	0.213560077	-13.87475781	9.01e-44	3e-42
GATA1	11.61884477	-1.751839725	0.157488461	-11.12360685	9.63e-29	1.41e-27
GJA1	6050.118153	-1.242341698	0.162971404	-7.623065559	2.48e-14	1.34e-13
GPER1	214.6636694	-2.207429272	0.182689865	-12.08293228	1.3e-33	2.53e-32
IL13	4.514782715	-1.795275015	0.231091654	-7.768670921	7.93e-15	4.46e-14
IL1A	104.157644	-1.310901293	0.260811419	-5.02624195	5e-07	1.36e-06
IL1B	464.5258641	-1.012845406	0.184981197	-5.475396545	4.37e-08	1.34e-07
IL27	12.33650152	-1.110231078	0.166547482	-6.666153467	2.63e-11	1.1e-10
JUN	11117.32458	-1.101705608	0.119926934	-9.186473578	4.06e-20	3.36e-19
LHFPL3-AS2	402.5262425	-2.090463675	0.292004334	-7.159015928	8.13e-13	3.89e-12
LINC00472	49.77776214	-1.646057707	0.237778807	-6.922642635	4.43e-12	1.99e-11
LINC00987	77.74415475	-1.729048404	0.116297136	-14.86750626	5.36e-50	2.45e-48
LINC01354	16.2165184	-1.796350254	0.231407198	-7.762724187	8.31e-15	4.67e-14
LINC02035	450.8647195	-1.034351942	0.094417885	-10.9550425	6.28e-28	8.76e-27
LINC02605	54.69779108	-1.769903527	0.221775157	-7.980621233	1.46e-15	8.68e-15
MEFV	85.81342716	-1.660992879	0.161292002	-10.2980486	7.19e-25	8.31e-24
MIR23A	5.189948506	-1.92868265	0.247417114	-7.795267756	6.43e-15	3.65e-14
MIR34C	5.515024644	-2.135314864	0.422162844	-5.058036008	4.24e-07	1.16e-06
NCR1	18.27599818	-1.104156454	0.19405618	-5.689880407	1.27e-08	4.12e-08
NFKBIA	12166.76368	-1.035629877	0.115119031	-8.996165718	2.34e-19	1.83e-18
NLRC4	271.1814259	-2.074212173	0.122715215	-16.90264868	4.3e-64	3.63e-62
NOS1	204.2276584	-1.774486648	0.341251171	-5.199943035	1.99e-07	5.67e-07
NR4A1	7053.90834	-1.770113587	0.201982332	-8.763705068	1.89e-18	1.39e-17
PCSK9	805.4058771	-1.477773062	0.274726679	-5.379066452	7.49e-08	2.24e-07
PECAM1	11968.98771	-2.319226817	0.095957106	-24.16941188	4.67e-129	1.8e-125
PGM5-AS1	4.433999209	-2.337012165	0.246255346	-9.490198703	2.31e-21	2.09e-20
PPARG	1010.202952	-1.58493242	0.174026873	-9.107400467	8.44e-20	6.8e-19
PRF1	883.3144612	-1.287398725	0.164420035	-7.829938281	4.88e-15	2.8e-14
PTX3	171.5408196	-2.062729438	0.220449292	-9.356933841	8.21e-21	7.15e-20
PVALB	21.02282374	-1.316276494	0.21687576	-6.06926517	1.28e-09	4.61e-09
RASGRF1	1118.928288	-2.094788467	0.247037186	-8.479648355	2.26e-17	1.53e-16
S100A12	45.57105678	-1.99802582	0.261924435	-7.628252864	2.38e-14	1.29e-13
S100A4	10047.65337	-1.073237399	0.18635523	-5.759094585	8.46e-09	2.79e-08
SFTA1P	1147.864669	-1.821825829	0.247139001	-7.371664606	1.69e-13	8.54e-13
SIGLEC14	258.2908808	-1.385816888	0.180189125	-7.690901924	1.46e-14	8.04e-14
SLC46A2	363.7651426	-1.945257317	0.257444201	-7.556034701	4.16e-14	2.2e-13
SNRK	1977.596831	-1.196746977	0.07125963	-16.79417897	2.69e-63	2.21e-61
TLR4	1124.788082	-1.572396316	0.142156517	-11.06102166	1.94e-28	2.78e-27
TLR8	451.966749	-1.798104679	0.170750966	-10.53056814	6.25e-26	7.66e-25
TSLP	38.3322584	-1.755718261	0.201078251	-8.731517457	2.51e-18	1.83e-17
TUBB6	2704.137531	-1.326024713	0.13042289	-10.1671165	2.78e-24	3.08e-23
UCP1	1.794772011	-1.145992296	0.296296542	-3.867720794	0.000109857	0.000222622
VIM	38823.30306	-1.204216187	0.11485418	-10.4847398	1.02e-25	1.23e-24
WFDC12	19.92735872	-2.162036811	0.344870196	-6.269132079	3.63e-10	1.37e-09
ZEB2	2653.182806	-1.328946751	0.130473754	-10.18554848	2.3e-24	2.57e-23
