gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ACE2	409.2913813	1.468796029	0.228331349	6.432739249	1.25e-10	4.93e-10
ADORA1	464.1032366	1.081725408	0.229119486	4.721228335	2.34e-06	5.89e-06
AIM2	470.0763998	2.80998675	0.233792011	12.01917354	2.82e-33	5.4e-32
ANLN	2102.252684	3.782299512	0.175580063	21.54173679	6.33e-103	4.15e-100
ASIC1	173.1070193	1.307039355	0.167331354	7.811084544	5.67e-15	3.23e-14
BCAR4	11.45239072	4.755518641	0.594328175	8.00150294	1.23e-15	7.38e-15
BNIP3	3678.157072	1.142209412	0.116616424	9.794584427	1.19e-22	1.18e-21
BRCA1	761.8767655	1.465217151	0.13001436	11.26965629	1.85e-29	2.86e-28
C10orf55	61.99446333	1.641596629	0.19283368	8.513018215	1.69e-17	1.16e-16
CACNA1G-AS1	4.801702563	1.25425184	0.261485899	4.796632796	1.61e-06	4.13e-06
CASC9	159.9752496	5.503320746	0.422035549	13.03994596	7.25e-39	1.86e-37
CDK1	1537.589608	2.453424699	0.153417004	15.99186942	1.46e-57	9.27e-56
CERNA3	1.51912352	2.059928294	0.358117216	5.752106295	8.81e-09	2.9e-08
CHI3L1	8387.148906	1.297852273	0.233528042	5.557586413	2.74e-08	8.57e-08
CHMP4C	1240.012517	1.018016281	0.112161216	9.076366277	1.12e-19	8.95e-19
COL2A1	98.92950915	3.378567496	0.399588611	8.455114583	2.79e-17	1.88e-16
CTSV	409.7166881	2.257361447	0.226896304	9.948868324	2.55e-23	2.66e-22
CYTOR	664.4800063	1.268900886	0.128013454	9.912246283	3.68e-23	3.79e-22
DEPTOR	1310.30151	1.51946518	0.142943704	10.62981538	2.17e-26	2.74e-25
DLEU2	242.81674	1.042109043	0.143514889	7.261330517	3.83e-13	1.89e-12
DLX6-AS1	70.31278504	4.736266799	0.40636224	11.65528273	2.16e-31	3.71e-30
DNMT3B	316.3375981	2.049451433	0.165577291	12.3776118	3.45e-35	7.35e-34
DPEP1	137.0926477	2.087516953	0.23216576	8.991493615	2.44e-19	1.9e-18
EZH2	922.4586033	2.542816649	0.125685163	20.23163749	5.16e-91	1.57e-88
FAT1	7986.615835	1.175751294	0.148607159	7.911807917	2.54e-15	1.48e-14
FGF21	1.4927779	2.711081147	0.600683691	4.51332571	6.38e-06	1.52e-05
FGF5	9.722726001	3.908180401	0.445240803	8.777678001	1.67e-18	1.23e-17
FIRRE	45.78352028	2.601032829	0.252120775	10.31661443	5.93e-25	6.87e-24
FKBP10	6233.247323	1.79163481	0.16882425	10.61242569	2.61e-26	3.28e-25
FNDC4	594.4956839	1.943568087	0.188832209	10.29256657	7.61e-25	8.78e-24
FOXP3	257.7751623	1.839332838	0.138422341	13.28783223	2.72e-40	7.6e-39
GABRG3	30.84573458	3.314709393	0.445891389	7.433894162	1.05e-13	5.42e-13
GAS5	9805.960387	1.151050881	0.147309653	7.813818401	5.55e-15	3.17e-14
GDNF-AS1	6.095752953	1.91764114	0.307292127	6.240449953	4.36e-10	1.64e-09
GSDMB	1247.703095	1.727931366	0.147086891	11.74769113	7.26e-32	1.28e-30
GSDMC	353.6669156	2.53634001	0.225309931	11.25711592	2.14e-29	3.28e-28
H19	2042.233053	2.228487769	0.322918134	6.901092065	5.16e-12	2.31e-11
HKDC1	1045.705021	1.692683216	0.189754686	8.920376348	4.65e-19	3.56e-18
HOTAIR	44.10999962	6.914531387	0.551272435	12.54285712	4.35e-36	9.67e-35
HOTTIP	2.086555472	2.632865971	0.576227708	4.569141562	4.9e-06	1.18e-05
HOXA11-AS	11.37686818	4.057077556	0.449727398	9.021192784	1.86e-19	1.47e-18
HOXC-AS2	27.18166501	5.24594064	0.393759178	13.32271332	1.71e-40	4.8e-39
IFNB1	1.088415659	1.720848328	0.413637084	4.160285413	3.18e-05	6.94e-05
IGF2-AS	3.660784615	1.30033995	0.396182407	3.282174896	0.001030097	0.001810783
IGF2BP3	616.5868519	4.00343478	0.273421786	14.64197436	1.52e-48	6.47e-47
IKBKE	907.208457	1.141516871	0.088322773	12.92437766	3.28e-38	8.12e-37
IL17A	2.910510847	2.194660431	0.464678306	4.722967273	2.32e-06	5.85e-06
IL36G	28.69715658	4.409711766	0.357595234	12.3315731	6.12e-35	1.29e-33
IL37	397.4697619	6.229185844	0.397958537	15.6528514	3.18e-55	1.82e-53
ITGB2-AS1	252.6928905	1.719160369	0.191665984	8.969564317	2.98e-19	2.31e-18
KCNQ1OT1	437.3145798	1.180008358	0.180054119	6.553631547	5.62e-11	2.28e-10
KDM4A-AS1	49.8645057	1.154339602	0.129937437	8.883810799	6.46e-19	4.9e-18
KIF23	826.2212131	2.579621843	0.152562826	16.90858713	3.89e-64	3.31e-62
LCN2	9022.662655	2.693404234	0.257816625	10.44697653	1.51e-25	1.81e-24
LINC00265	225.9784126	1.003853989	0.122468133	8.19685874	2.47e-16	1.55e-15
LINC00336	9.581377832	1.360541446	0.254631223	5.343183882	9.13e-08	2.7e-07
LINC00511	1056.245253	3.0707738	0.151914742	20.21379733	7.4e-91	2.24e-88
LINC00665	1013.605775	2.28960021	0.188542752	12.14366604	6.2e-34	1.22e-32
LINC00707	41.36923088	3.796864539	0.356735955	10.64334694	1.87e-26	2.38e-25
LINC00941	57.75456055	3.027455541	0.310411238	9.75304746	1.79e-22	1.76e-21
LINC00958	70.23989739	2.027500501	0.299607873	6.767180324	1.31e-11	5.67e-11
LINC01133	121.1255401	2.048780298	0.353227832	5.800166664	6.62e-09	2.21e-08
LINC01224	77.08284015	2.540912919	0.31156551	8.155308727	3.48e-16	2.17e-15
LINC01547	228.9388895	1.508139424	0.160023844	9.42446691	4.32e-21	3.84e-20
LINC02178	4.165658835	4.24291565	0.719525672	5.896823167	3.71e-09	1.27e-08
LINC02446	64.30327464	1.128031557	0.250563952	4.501970652	6.73e-06	1.6e-05
LINC02474	97.42417925	4.780041523	0.345435603	13.83772109	1.51e-43	4.96e-42
LOXL1-AS1	233.640708	1.303899758	0.126280464	10.32542739	5.41e-25	6.28e-24
MAP2K6	335.5123018	1.184625333	0.175859982	6.73618479	1.63e-11	6.96e-11
MEG3	1431.455548	1.768012564	0.255265618	6.926168042	4.32e-12	1.95e-11
MEG8	7.290033621	1.57155708	0.372673469	4.216981386	2.48e-05	5.48e-05
MELK	690.2275548	3.611045404	0.170884708	21.1314719	4.09e-99	1.95e-96
MELTF	1168.161968	2.802951499	0.20894492	13.4147865	4.95e-41	1.43e-39
MIAT	987.3980148	1.759945145	0.227388666	7.739810311	9.96e-15	5.55e-14
MIR135B	1.808021595	2.132694272	0.355295634	6.002590706	1.94e-09	6.84e-09
MIR215	1.489092523	1.639058735	0.552798045	2.965022667	0.003026606	0.00494947
MIR25	16.49408432	1.893067825	0.188127238	10.0626993	8.08e-24	8.69e-23
MIR320C1	1.393733056	1.965010402	0.53634752	3.663688801	0.000248609	0.000478074
MIR4435-2HG	995.6296727	1.06022238	0.112457687	9.427744839	4.19e-21	3.73e-20
MIR561	2.041221481	2.572983114	0.59060794	4.356499359	1.32e-05	3.02e-05
MIR7-3HG	2.349565579	1.702353786	0.556325836	3.059994119	0.002213413	0.003696146
MIR9-3HG	169.6824934	2.462600601	0.264248371	9.31926501	1.17e-20	1.01e-19
MKI67	3395.174995	3.10551661	0.161705657	19.20474936	3.38e-82	6.28e-80
MMP9	3609.829849	1.998427484	0.205539076	9.722859143	2.41e-22	2.35e-21
MST1	282.8136483	1.293462735	0.155138662	8.337462232	7.59e-17	4.94e-16
MUC20	2389.787974	2.317308707	0.196713319	11.78013121	4.94e-32	8.81e-31
MYOSLID	70.53872799	3.213493061	0.253463625	12.67832046	7.8e-37	1.81e-35
NEAT1	47565.2874	1.03985684	0.217357301	4.78408977	1.72e-06	4.39e-06
NLRP13	1.435116665	2.335156483	0.786628556	2.968563073	0.002991957	0.004895801
NLRP2	1216.290653	1.164371467	0.276227554	4.215261839	2.49e-05	5.53e-05
NLRP7	16.70164573	1.162325415	0.202102321	5.751173021	8.86e-09	2.91e-08
NOP2	2060.514782	1.077834923	0.096129434	11.21232989	3.55e-29	5.36e-28
PAH	132.4026098	5.244922879	0.40681833	12.89254316	4.96e-38	1.21e-36
PGF	523.0241047	1.23317892	0.158160644	7.797002388	6.34e-15	3.6e-14
PIF1	183.3260452	2.352839799	0.163178677	14.41879443	3.94e-47	1.57e-45
PROM2	3918.599711	2.607305138	0.158410025	16.45921805	7.2e-61	5.24e-59
PURPL	27.32551169	4.14679046	0.469248977	8.837079388	9.83e-19	7.37e-18
PVT1	669.9017585	2.733868095	0.148748404	18.3791424	1.93e-75	2.58e-73
RNF103-CHMP3	5.619139794	1.690011518	0.245571179	6.881961978	5.9e-12	2.62e-11
S100A9	14575.51671	1.009537427	0.263002304	3.838511728	0.000123782	0.000248925
SCARNA5	91.25782609	5.066879919	0.499910311	10.13557793	3.84e-24	4.22e-23
