Sample	gene	value	Risk_score	Risk_score_LH
TCGA-05-4249-01	LGALS9	12.541	2.65021238179256	Low
TCGA-05-4249-01	CD200R1	6.8289	2.65021238179256	Low
TCGA-05-4249-01	LAG3	5.9126	2.65021238179256	Low
TCGA-05-4249-01	ICOS	5.9582	2.65021238179256	Low
TCGA-05-4249-01	TNFSF15	6.6369	2.65021238179256	Low
TCGA-05-4249-01	TIGIT	6.66	2.65021238179256	Low
TCGA-05-4249-01	TNFSF14	3.7948	2.65021238179256	Low
TCGA-05-4249-01	CTLA4	5.2118	2.65021238179256	Low
TCGA-05-4249-01	CD274	6.1004	2.65021238179256	Low
TCGA-05-4249-01	CD276	11.3372	2.65021238179256	Low
TCGA-05-4249-01	PDCD1	5.7582	2.65021238179256	Low
TCGA-05-4249-01	CD48	8.7171	2.65021238179256	Low
TCGA-05-4249-01	CD44	12.0728	2.65021238179256	Low
TCGA-05-4249-01	ICOSLG	7.871	2.65021238179256	Low
TCGA-05-4249-01	IDO1	8.0896	2.65021238179256	Low
TCGA-05-4249-01	CD28	6.8451	2.65021238179256	Low
TCGA-05-4249-01	TNFRSF4	5.7057	2.65021238179256	Low
TCGA-05-4249-01	NRP1	12.7293	2.65021238179256	Low
TCGA-05-4249-01	TNFRSF14	9.5366	2.65021238179256	Low
TCGA-05-4249-01	TMIGD2	1.7021	2.65021238179256	Low
TCGA-05-4249-01	PDCD1LG2	6.5553	2.65021238179256	Low
TCGA-05-4249-01	TNFRSF18	7.8867	2.65021238179256	Low
TCGA-05-4249-01	TNFSF4	5.1865	2.65021238179256	Low
TCGA-05-4249-01	CD80	6.4844	2.65021238179256	Low
TCGA-05-4249-01	CD86	9.0471	2.65021238179256	Low
TCGA-05-4249-01	TNFSF9	6.8042	2.65021238179256	Low
TCGA-05-4249-01	TNFRSF25	7.2661	2.65021238179256	Low
TCGA-05-4249-01	ADORA2A	7.273	2.65021238179256	Low
TCGA-05-4249-01	CD70	2.6945	2.65021238179256	Low
TCGA-05-4249-01	CD160	3.4986	2.65021238179256	Low
TCGA-05-4249-01	LAIR1	9.0017	2.65021238179256	Low
TCGA-05-4249-01	CD200	6.8612	2.65021238179256	Low
TCGA-05-4249-01	HAVCR2	9.3565	2.65021238179256	Low
TCGA-05-4249-01	TNFRSF9	5.1078	2.65021238179256	Low
TCGA-05-4249-01	BTNL2	0.4027	2.65021238179256	Low
TCGA-05-4249-01	TNFRSF8	4.2982	2.65021238179256	Low
TCGA-05-4250-01	LGALS9	11.7145	6.32006102112651	High
TCGA-05-4250-01	CD200R1	5.0516	6.32006102112651	High
TCGA-05-4250-01	LAG3	7.6649	6.32006102112651	High
TCGA-05-4250-01	ICOS	6.4844	6.32006102112651	High
TCGA-05-4250-01	TNFSF15	6.1491	6.32006102112651	High
TCGA-05-4250-01	TIGIT	7.0296	6.32006102112651	High
TCGA-05-4250-01	TNFSF14	3.3151	6.32006102112651	High
