Factor	HR	CI95	P Value	C index
BRCA1	1.201	1.05-1.374	0.008	0.588
CHI3L1	0.924	0.856-0.998	0.045	0.573
FGF5	1.129	1.06-1.203	0	0.592
FNDC4	1.123	1.014-1.245	0.026	0.545
IGF2BP3	1.108	1.041-1.179	0.001	0.582
KIF23	1.241	1.111-1.388	0	0.608
MELK	1.185	1.073-1.308	0.001	0.591
MKI67	1.248	1.115-1.397	0	0.617
MST1	0.875	0.783-0.977	0.018	0.552
SERPINH1	1.269	1.034-1.557	0.022	0.55
SRPK1	1.414	1.084-1.844	0.011	0.563
TFAP2A	1.174	1.085-1.27	0	0.619
TRPA1	1.151	1.062-1.246	0.001	0.58
UTS2	0.869	0.78-0.968	0.011	0.576
AGER	0.915	0.861-0.972	0.004	0.575
ALOX15	0.922	0.871-0.977	0.006	0.569
BTK	0.842	0.756-0.937	0.002	0.615
CAMP	0.891	0.814-0.975	0.012	0.578
CNR1	0.918	0.845-0.997	0.042	0.562
CPA3	0.907	0.847-0.971	0.005	0.577
CRTAC1	0.905	0.855-0.957	0	0.577
CTSG	0.9	0.836-0.968	0.005	0.586
DUOX1	0.93	0.866-0.998	0.044	0.548
GATA1	0.843	0.722-0.984	0.03	0.56
IL1A	1.098	1.017-1.187	0.017	0.534
PECAM1	0.759	0.621-0.928	0.007	0.558
PVALB	0.897	0.809-0.994	0.038	0.583
RASGRF1	0.908	0.85-0.971	0.004	0.579
TUBB6	1.239	1.047-1.467	0.013	0.545
